timestamp,Substation,Description,original_values,average_original,future_values,average_future,worst_case,upper_quartile_original
2023-02-09 03:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 03:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 03:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 03:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 03:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 04:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 04:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.01,-0.016238425925925924,0.01,-0.048831018518518524,0.030071275837491095,-0.01
2023-02-09 04:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.01,-0.016238425925925924,0.01,-0.048831018518518524,0.030071275837491095,-0.01
2023-02-09 04:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 04:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 04:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 05:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 05:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 05:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 05:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 05:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.01,-0.016238425925925924,0.01,-0.048831018518518524,0.030071275837491095,-0.01
2023-02-09 05:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 06:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 06:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 06:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 06:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 06:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 06:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 07:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 07:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 07:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 07:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 07:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 07:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 08:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 08:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 08:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 08:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 08:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 08:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 09:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 09:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 09:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 09:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 09:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 09:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 10:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 11:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 11:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 11:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 11:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 11:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 11:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 12:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 12:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 12:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 12:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-09 12:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 12:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 13:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 13:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 13:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 13:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 13:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 13:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 14:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 14:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 14:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 14:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 14:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 14:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 15:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 15:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 15:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 15:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 15:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 15:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 16:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 17:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 17:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 17:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 17:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 17:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 17:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 18:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 18:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 18:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 18:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 18:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 18:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 19:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.04,-0.016238425925925924,-0.12,-0.048831018518518524,-0.12028510334996438,-0.01
2023-02-09 19:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 19:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 19:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 19:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 19:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 20:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 20:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 20:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 20:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.04,-0.016238425925925924,-0.12,-0.048831018518518524,-0.12028510334996438,-0.01
2023-02-09 20:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 20:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 21:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 21:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.04,-0.016238425925925924,-0.12,-0.048831018518518524,-0.12028510334996438,-0.01
2023-02-09 21:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 21:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 21:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 21:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 22:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 22:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 22:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-09 22:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 22:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 22:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 23:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 23:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 23:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-09 23:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 23:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-09 23:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 00:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 00:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 00:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 00:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 00:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 00:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 01:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 01:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 01:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 01:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 01:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 01:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 02:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 02:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 02:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 02:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 02:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 02:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 03:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 03:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 03:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 03:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 03:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 03:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 04:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 04:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 04:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 04:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 04:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 04:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 05:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 05:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 05:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 05:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.01,-0.016238425925925924,0.01,-0.048831018518518524,0.030071275837491095,-0.01
2023-02-10 05:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 05:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 06:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,0.0,-0.016238425925925924,0.0,-0.048831018518518524,0.0,-0.01
2023-02-10 06:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 06:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 06:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 06:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.02,-0.016238425925925924,-0.06,-0.048831018518518524,-0.06014255167498219,-0.01
2023-02-10 06:50:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 07:00:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.01,-0.016238425925925924,-0.03,-0.048831018518518524,-0.030071275837491095,-0.01
2023-02-10 07:10:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.04,-0.016238425925925924,-0.12,-0.048831018518518524,-0.12028510334996438,-0.01
2023-02-10 07:20:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-10 07:30:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
2023-02-10 07:40:00,722466 - Middle Leaford - Stechford,L2 Active Power,-0.03,-0.016238425925925924,-0.09,-0.048831018518518524,-0.09021382751247328,-0.01
